"id","response"
"bubble2","20"
"bubble4","33"
"pie1","10"
"bar14","75"
"bubble7","75"
"bubble13","85"
"pie16","90"
"bar20","100"
"bar13","75"
"pie8","40"
"bubble8","50"
"bubble20","100"
"bar10","50"
"pie9","30"
"bar8","45"
"bubble11","66"
"pie18","90"
"bubble5","25"
"bar17","80"
"pie3","20"
"bubble12","40"
"bubble14","80"
"bubble6","50"
"bubble1","10"
"bubble10","40"
"bar19","95"
"pie2","15"
"bar1","10"
"pie11","50"
"bar6","33"
"bar4","25"
"bar18","85"
"bubble15","80"
"pie17","80"
"bubble18","95"
"pie20","95"
"bar15","80"
"pie14","75"
"pie7","33"
"bubble3","30"
"pie5","20"
"bar3","15"
"bar9","40"
"bar7","40"
"pie10","60"
"bar2","15"
"bar12","65"
"bar16","85"
"pie15","85"
"pie6","40"
"pie12","50"
"pie19","100"
"bar11","55"
"pie4","20"
"bubble19","100"
"bubble16","95"
"bubble9","30"
"bar5","30"
"bubble17","95"
"pie13","65"
